symbol,exit_price,pnl,pct,reason,line
TTNP,8.36,-4.84,-5.00%,stop_loss,"2025-11-17 19:23:29,902 INFO core.backtester - [EXIT] TTNP | Price: $8.36 | P&L: $-4.84 (-5.00%) | Reason: stop_loss component=intraday_bt"
STIM,3.32,-4.73,-5.00%,stop_loss,"2025-11-17 19:23:29,951 INFO core.backtester - [EXIT] STIM | Price: $3.32 | P&L: $-4.73 (-5.00%) | Reason: stop_loss component=intraday_bt"
SYTA,4.51,-4.75,-5.00%,stop_loss,"2025-11-17 19:23:29,997 INFO core.backtester - [EXIT] SYTA | Price: $4.51 | P&L: $-4.75 (-5.00%) | Reason: stop_loss component=intraday_bt"
CMPX,2.06,-4.77,-5.00%,stop_loss,"2025-11-17 19:23:30,045 INFO core.backtester - [EXIT] CMPX | Price: $2.06 | P&L: $-4.77 (-5.00%) | Reason: stop_loss component=intraday_bt"
PMTS,21.84,-4.6,-5.00%,stop_loss,"2025-11-17 19:23:30,088 INFO core.backtester - [EXIT] PMTS | Price: $21.84 | P&L: $-4.60 (-5.00%) | Reason: stop_loss component=intraday_bt"
HTZ,10.45,-4.4,-5.00%,stop_loss,"2025-11-17 19:23:30,130 INFO core.backtester - [EXIT] HTZ | Price: $10.45 | P&L: $-4.40 (-5.00%) | Reason: stop_loss component=intraday_bt"
BDRX,2.56,-4.71,-5.00%,stop_loss,"2025-11-17 19:23:30,176 INFO core.backtester - [EXIT] BDRX | Price: $2.56 | P&L: $-4.71 (-5.00%) | Reason: stop_loss component=intraday_bt"
ERNA,1.92,-4.64,-5.00%,stop_loss,"2025-11-17 19:23:30,220 INFO core.backtester - [EXIT] ERNA | Price: $1.92 | P&L: $-4.64 (-5.00%) | Reason: stop_loss component=intraday_bt"
DGICB,17.39,-4.57,-5.00%,stop_loss,"2025-11-17 19:23:30,262 INFO core.backtester - [EXIT] DGICB | Price: $17.39 | P&L: $-4.57 (-5.00%) | Reason: stop_loss component=intraday_bt"
AEVA,1.25,-4.62,-5.00%,stop_loss,"2025-11-17 19:23:30,304 INFO core.backtester - [EXIT] AEVA | Price: $1.25 | P&L: $-4.62 (-5.00%) | Reason: stop_loss component=intraday_bt"
LITM,1.03,-4.59,-5.00%,stop_loss,"2025-11-17 19:23:30,348 INFO core.backtester - [EXIT] LITM | Price: $1.03 | P&L: $-4.59 (-5.00%) | Reason: stop_loss component=intraday_bt"
FTEL,1.36,-4.58,-5.00%,stop_loss,"2025-11-17 19:23:30,444 INFO core.backtester - [EXIT] FTEL | Price: $1.36 | P&L: $-4.58 (-5.00%) | Reason: stop_loss component=intraday_bt"
EXFY,2.14,-4.5,-5.00%,stop_loss,"2025-11-17 19:23:30,488 INFO core.backtester - [EXIT] EXFY | Price: $2.14 | P&L: $-4.50 (-5.00%) | Reason: stop_loss component=intraday_bt"
