symbol,date,gap_percent,bar_count,reason,pattern_strength,pattern_count,patterns_detected,step_up_detected,step_up_count,step_up_retention,step_up_total_advance,step_up_strength,parabolic_detected,parabolic_angle,parabolic_accel,parabolic_vol_mult,parabolic_strength,breakout_detected,breakout_level,breakout_range_size,breakout_vol_ratio,breakout_strength,volume_trend,volume_avg,volume_recent,volume_high_correlation,volume_strength,sr_current_price,sr_support_levels,sr_resistance_levels,sr_strength
DERM,2024-01-05,10.438413361169102,252,"pattern_invalid:low_score(-3.7),retention(0.0%),angle(-0.5°),breakout_vol(0.6x)",-3.6606305633338176,0,,False,3,0.0,0.0,30.0,False,-0.5260646469759748,-0.000272649173685044,3.916768665850673,0,False,5.58,0.6500000000000004,0.6049046321525886,0,increasing,803.4,2766.8,-97.43952115720343,-24.404203755558786,4.995,1,0,0
PSFE,2024-01-05,-10.641754670999191,267,"pattern_invalid:low_score(10.4),retention(32.2%),angle(-0.0°),breakout_vol(0.9x)",10.423760911911117,0,,False,4,32.21428571428557,0.27999999999999936,56.10714285714279,False,-0.040958056217694744,-0.0016529809907833842,0.16922807478436008,0,False,12.59,0.23000000000000043,0.9324460816350781,0,decreasing,890.1333333333333,411.0,38.98347882548157,19.491739412740785,12.5,1,2,50
WSBF,2024-01-05,14.41666666666667,104,"pattern_invalid:low_score(12.2),retention(7.4%),angle(0.0°),breakout_vol(0.3x)",12.15954412445688,0,,False,4,7.3913043478250655,0.23000000000000043,43.695652173912535,False,0.004104282193057314,-0.0004776368584141483,0.28046989720998533,0,False,13.98,0.13000000000000078,0.32054794520547947,0,stable,436.0,312.4,-27.872745007241594,1.063627496379203,13.97,2,2,80
HTLD,2024-01-05,17.541082532380635,194,"pattern_invalid:low_score(17.2),step_ups(1),angle(0.0°),breakout_vol(0.5x)",17.25,0,,False,1,145.45454545454473,0.10999999999999943,82.72727272727236,False,0.0,-0.00030803670745273515,0.14054478037649742,0,False,13.59,0.0600000000000005,0.4518759403970295,0,stable,1599.5,942.6,100.0,65.0,13.55,2,1,50
PODC,2024-01-08,23.456790123456784,188,"pattern_invalid:low_score(-1.6),step_ups(1),angle(-0.3°),breakout_vol(0.4x)",-1.5717538466569647,0,,False,1,50.0,0.06000000000000005,35.0,False,-0.303550958647744,0.0014446110757985046,0.042731404770229395,0,False,1.78,0.3500000000000001,0.4294498919727439,0,decreasing,2286.4666666666667,217.8,-20.956717955426196,-10.478358977713098,1.43,1,0,0
DAWN,2024-01-08,10.734072022160671,281,"pattern_invalid:low_score(2.3),retention(0.0%),angle(-0.0°),breakout_vol(0.3x)",2.259594177326864,0,,False,2,0.0,0.009999999999999787,20.0,False,-0.004291223422914344,0.0018813756356269075,0.3155573608773864,0,False,14.51,0.2530999999999999,0.25922792173453196,0,stable,755.7,589.0,-99.87207763564182,-34.93603881782091,14.4092,1,1,50
APYX,2024-01-08,-10.156250000000009,139,"pattern_invalid:low_score(-2.1),step_ups(1),angle(-0.1°),breakout_vol(0.1x)",-2.149025644876656,0,,False,1,0.0,0.05620000000000003,10.0,False,-0.11818736082337865,-7.467076513587117e-05,0.1698065912029341,0,False,2.4862,0.15620000000000012,0.0718679699786984,0,decreasing,2955.633333333333,1155.6,-28.653675265022084,-14.326837632511042,2.3407,0,0,0
NESR,2024-01-08,47.652173913043484,42,"pattern_invalid:low_score(-5.7),step_ups(0),angle(-0.1°),breakout_vol(0.6x)",-5.717771730732092,0,,False,0,0.0,0.0,0.0,False,-0.08281907170820554,0.0009824408072461675,0.14345539993485645,0,False,8.15,0.6500000000000004,0.5816170467220938,0,increasing,3276.5333333333333,1583.2,-92.57585802437656,-38.11847820488061,7.5,1,0,0
STTK,2024-01-09,10.937500000000009,468,"pattern_invalid:low_score(19.5),step_ups(0),angle(0.1°),breakout_vol(0.3x)",19.5,0,,False,0,0.0,0.0,0.0,False,0.10012844479085883,-0.00023617511520739477,0.26929982046678635,0,False,10.49,0.23000000000000043,0.32884615384615384,0,decreasing,47.13333333333333,8.4,100.0,50.0,10.48,1,1,80
STIM,2024-01-09,24.11347517730497,235,"pattern_invalid:low_score(-5.2),step_ups(0),angle(-0.1°)",-5.232886143677708,0,,False,0,0.0,0.0,0.0,False,-0.14333966865105263,0.0009149963252820597,6.287844036697247,0,False,2.92,0.33999999999999986,1.9123433067984261,0,stable,423.6666666666667,691.8,-99.77181524903611,-34.885907624518055,2.7787,0,1,0
STIM,2024-01-10,22.377622377622384,299,"pattern_invalid:low_score(-3.7),step_ups(0),angle(0.1°)",-3.696733920360859,0,,False,0,0.0,0.0,0.0,False,0.06010044597791645,0.0012673555935166052,4.453343130051433,0,False,3.0,0.31999999999999984,2.9189695550351287,0,increasing,494.8,1631.8,-99.81134617976014,-24.644892802405728,2.89,0,2,0
HTZ,2024-01-09,14.479166666666673,441,"pattern_invalid:low_score(11.4),angle(-0.1°),breakout_vol(1.4x)",11.397683234402336,1,step_up,True,3,88.72036262203622,1.7207999999999988,74.36018131101811,False,-0.05321215175582284,0.0006279531821070937,1.104637336504162,0,False,10.99,1.5600000000000005,1.35873388042204,0,decreasing,118.0,70.6,-95.8981612446959,-47.94908062234795,9.43,0,1,0
CMPX,2024-01-09,16.04278074866309,337,"pattern_invalid:low_score(-0.7),step_ups(1),angle(0.1°),breakout_vol(1.1x)",-0.7258762200532383,0,,False,1,0.0,0.040000000000000036,10.0,False,0.11402130124804286,0.0003067396313364051,0.475294502617801,0,False,2.09,0.19999999999999996,1.0635700461515558,0,stable,300.56666666666666,446.6,-99.67834960070985,-34.839174800354925,2.05,1,2,30
CMPX,2024-01-12,19.77401129943503,219,"pattern_invalid:low_score(-1.0),step_ups(0),angle(0.3°)",-0.9833926621124585,0,,False,0,0.0,0.0,0.0,False,0.2589622118191311,0.0005074601740028577,3.1198265668111946,0,False,1.91,0.14969999999999994,2.269335363863809,0,increasing,348.4,899.0,-99.72251459190508,-36.55595108074972,1.85,1,1,30
CLDT,2024-01-09,13.417190775681354,170,"pattern_invalid:low_score(7.5),step_ups(0),angle(0.0°),breakout_vol(1.2x)",7.5,0,,False,0,0.0,0.0,0.0,False,0.010729546599872969,0.00028259077546481843,0.3517711687819663,0,False,10.71,0.07500000000000107,1.197933424081178,0,decreasing,951.4666666666667,320.2,100.0,50.0,10.7,2,2,0
ABSI,2024-01-10,19.55990220048899,468,"pattern_invalid:low_score(8.3),step_ups(0),angle(-0.0°),breakout_vol(0.1x)",8.272552651437195,0,,False,0,0.0,0.0,0.0,False,-0.026899425025102668,0.0013772246941045536,0.25176470588235295,0,False,4.27,0.13999999999999968,0.10138740661686232,0,increasing,35.46666666666667,30.4,34.021632251720746,25.1503510095813,4.24,1,1,30
XRTX,2024-01-10,34.69387755102039,142,"pattern_invalid:low_score(-6.8),step_ups(1),angle(-0.1°),breakout_vol(0.3x)",-6.817319848293299,0,,False,1,0.0,0.0,10.0,False,-0.08488257421597971,0.0014050333704115655,0.43254146122814885,0,False,2.72,0.27,0.287381158167675,0,decreasing,106.53333333333333,55.0,-90.89759797724399,-45.448798988621995,2.66,0,1,0
UK,2024-01-10,15.714285714285708,317,"pattern_invalid:low_score(21.2),angle(-0.1°),breakout_vol(0.1x)",21.237864077669904,1,step_up,True,2,69.90291262135922,1.0299999999999998,54.95145631067961,False,-0.13683846703909186,0.0012713401795645862,6.925002498251224,0,False,4.88,1.1799999999999997,0.0892999878503418,0,decreasing,5287.033333333334,5925.8,100.0,50.0,4.4999,0,2,0
NVNI,2024-01-10,17.587939698492455,773,"pattern_invalid:low_score(11.9),angle(-0.6°),breakout_vol(0.4x)",11.905958509840714,1,step_up,True,2,65.16853932584272,1.7800000000000002,52.58426966292136,False,-0.6326884123554518,-0.0052927359764818075,0.6421658013499811,0,False,4.07,1.3200000000000003,0.35102847775145946,0,decreasing,25155.9,23223.4,-16.534785411861673,-8.267392705930837,2.9,0,1,0
